"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Времязадающий"
"C2","10n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Фильтр CV"
"C3","100n","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","1","Развязка"
"D1","LED red","LED_THT:LED_D5.0mm","1","Горит при OUT = 1"
"D2","LED green","LED_THT:LED_D5.0mm","1","Горит при OUT = 0"
"J1","PWR","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание 5–12 В (например батарея 9 В)"
"R1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","R1"
"R2","47k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1","R2"
"R3,R4","680","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2","Ток D1,Ток D2"
"U1","NE555","Package_DIP:DIP-8_W7.62mm","1","Таймер"
