"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100u/35V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","Входной фильтр"
"C2","330n","Capacitor_SMD:C_0805_2012Metric","1","Входной конденсатор по даташиту (0,33 мкФ)"
"C3","100n","Capacitor_SMD:C_0805_2012Metric","1","Выходной конденсатор по даташиту (0,1 мкФ)"
"C4","47u/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","Выходной накопительный"
"D1","1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","1","Защита от переполюсовки"
"D2","LED green","LED_SMD:LED_0805_2012Metric","1","Индикатор питания"
"J1","IN 7-20V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Вход: 1 = +, 2 = GND"
"J2","OUT 5V","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.08mm_Horizontal","1","Выход 5 В"
"R1","1k","Resistor_SMD:R_0805_2012Metric","1","Ток индикатора ≈ 3 мА"
"U1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical","1","Линейный стабилизатор 5 В"
