"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1,C2","22p","Capacitor_SMD:C_0805_2012Metric","2","Нагрузочный"
"C3,C4,C5,C6","100n","Capacitor_SMD:C_0805_2012Metric","4","Автосброс от DTR,Развязка AVCC,Развязка VCC,Фильтр AREF"
"D1","LED","LED_SMD:LED_0805_2012Metric","1","«Blink»"
"J1","ISP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","1","Программирование (стандарт AVR ISP)"
"J2","UART","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1","FTDI-совместимый: GND, CTS, VCC, TXD→RX, RXD, DTR"
"R1","10k","Resistor_SMD:R_0805_2012Metric","1","Подтяжка RESET"
"R2","330","Resistor_SMD:R_0805_2012Metric","1","Светодиод D13"
"SW1","RESET","Button_Switch_THT:SW_PUSH_6mm","1","Кнопка сброса"
"U1","ATmega328P-PU","Package_DIP:DIP-28_W7.62mm","1","Микроконтроллер"
"Y1","16MHz","Crystal:Crystal_HC49-4H_Vertical","1","Кварц"
