"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_SMD:C_0805_2012Metric","1","Вход LDO"
"C2","22u","Capacitor_SMD:C_0805_2012Metric","1","Выход LDO / пики ESP32"
"C3,C4","100n","Capacitor_SMD:C_0805_2012Metric","2","Развязка CH340C,Развязка модуля"
"C5","1u","Capacitor_SMD:C_0805_2012Metric","1","Задержка старта EN"
"D1","LED","LED_SMD:LED_0805_2012Metric","1","Индикатор"
"J1","USB","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","Линии USB (или подключите USB-C по шаблону «Питание от USB Type-C»)"
"Q1,Q2","BC817","Package_TO_SOT_SMD:SOT-23","2","Автозагрузка,Автосброс"
"R1,R2,R3,R4","10k","Resistor_SMD:R_0805_2012Metric","4","База Q1,База Q2,Подтяжка EN,Подтяжка IO0"
"R5","1k","Resistor_SMD:R_0805_2012Metric","1","Светодиод на IO2"
"SW1","EN","Button_Switch_THT:SW_PUSH_6mm","1","Сброс"
"SW2","BOOT","Button_Switch_THT:SW_PUSH_6mm","1","Режим прошивки"
"U1","ESP32-WROOM-32E","RF_Module:ESP32-WROOM-32D","1","Модуль"
"U2","AP2112K-3.3","Package_TO_SOT_SMD:SOT-23-5","1","LDO 3,3 В 600 мА"
"U3","CH340C","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","USB–UART при питании 3,3 В: V3 соединён с VCC"
