"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Bypass (подавление пульсаций)"
"C2","47n","Capacitor_SMD:C_0805_2012Metric","1","Цепь Зобеля"
"C3","220u/16V","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","1","Разделительный выходной"
"C4","100u/16V","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","1","Фильтр питания"
"C5","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка"
"J1","AUDIO IN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","Линейный вход (L+R смешиваются резисторами)"
"J2","SPEAKER","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","Динамик 8 Ом"
"J3","PWR 9V","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Питание"
"R1,R2","10k","Resistor_SMD:R_0805_2012Metric","2","Смешение левого,Смешение правого"
"R3","10","Resistor_SMD:R_0805_2012Metric","1","Цепь Зобеля"
"RV1","A10k","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","1","Громкость"
"U1","LM386","Package_DIP:DIP-8_W7.62mm","1","Усилитель"
