"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка"
"C2","1u","Capacitor_SMD:C_0805_2012Metric","1","Разделительный"
"C3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Усиление только для переменного сигнала"
"C4","100p","Capacitor_SMD:C_0805_2012Metric","1","Ограничение полосы ~16 кГц"
"J1","PWR/OUT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","1 = +5V, 2 = выход, 3 = GND"
"MK1","Electret","Sensor_Audio:CUI_CMA-4544PF-W","1","Микрофон"
"R1","2k2","Resistor_SMD:R_0805_2012Metric","1","Питание микрофона"
"R2,R3,R5","100k","Resistor_SMD:R_0805_2012Metric","3","R5 обратной связи,Смещение VCC/2"
"R4","1k","Resistor_SMD:R_0805_2012Metric","1","R4"
"U1","LM358","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","Усилитель; вторая половина не используется"
