"Обозначения","Номинал","Посадочное место","Кол-во","Описание"
"C1","22n","Capacitor_SMD:C_0805_2012Metric","1","Конденсатор обратной связи"
"C2","10n","Capacitor_SMD:C_0805_2012Metric","1","Конденсатор на опору"
"C3","10u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1","Фильтр делителя"
"C4","100n","Capacitor_SMD:C_0805_2012Metric","1","Развязка питания ОУ"
"C5","1u","Capacitor_SMD:C_0805_2012Metric","1","Разделительный"
"J1","PWR/IN","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","1 = +12V, 2 = вход, 3 = GND"
"J2","OUT","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","Выход относительно VREF"
"R1,R2,R3,R4","10k","Resistor_SMD:R_0805_2012Metric","4","R второго звена,R первого звена,Делитель VCC/2"
"R5","100k","Resistor_SMD:R_0805_2012Metric","1","Смещение входа на VREF"
"U1","LM358","Package_DIP:DIP-8_W7.62mm","1","A — фильтр, B — буфер VREF"
